slug,title,matched_condition,matched_presentation,match_basis,match_method,categories,source_file
is-obstructive-sleep-apnoea,Obstructive Sleep Apnoea (OSA),Obstructive sleep apnoea,,condition,exact,"Lungs, pleura and airways",extracted-illness-scripts\is-obstructive-sleep-apnoea.html
is-ocular-sarcoidosis,Ocular Sarcoidosis,Sarcoidosis,,condition,exact,"Lungs, pleura and airways",extracted-illness-scripts\is-ocular-sarcoidosis.html
is-ocular-tumour,Ocular Tumour,,,unmatched,unmatched,,extracted-illness-scripts\is-ocular-tumour.html
is-oesophageal-cancer,Oesophageal Cancer,Oesophageal cancer,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-oesophageal-cancer.html
is-oesophageal-spasm,Oesophageal Spasm,,,unmatched,unmatched,,extracted-illness-scripts\is-oesophageal-spasm.html
is-oesophageal-strictures-and-webs,Oesophageal Strictures and Webs,,,unmatched,unmatched,,extracted-illness-scripts\is-oesophageal-strictures-and-webs.html
is-oesophageal-varices,Oesophageal Varices,Variceal disease (including oesophageal varices),,condition,fuzzy:1.08,Gastrointestinal tract,extracted-illness-scripts\is-oesophageal-varices.html
is-oesophagitis,Oesophagitis,,,unmatched,unmatched,,extracted-illness-scripts\is-oesophagitis.html
is-olecranon-bursitis,Olecranon Bursitis,Bursitis,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-olecranon-bursitis.html
is-optic-neuritis,Optic Neuritis,Optic neuritis,,condition,exact,Eye,extracted-illness-scripts\is-optic-neuritis.html
is-oral-cancer,Oral Cancer,,,unmatched,unmatched,,extracted-illness-scripts\is-oral-cancer.html
is-oral-candidiasis,Oral Candidiasis,Candidiasis,,condition,exact,Infections,extracted-illness-scripts\is-oral-candidiasis.html
is-orbital-cellulitis,Orbital Cellulitis,Cellulitis,,condition,exact,Skin and soft tissue,extracted-illness-scripts\is-orbital-cellulitis.html
is-oropharyngeal-cancer,Oropharyngeal Cancer,,,unmatched,unmatched,,extracted-illness-scripts\is-oropharyngeal-cancer.html
is-orthostatic-hypotension,Orthostatic Hypotension,Orthostatic/ postural hypotension,,condition,fuzzy:1.16,Heart and vasculature,extracted-illness-scripts\is-orthostatic-hypotension.html
is-osgood-schlatters-disease,Osgood-Schlatter's Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-osgood-schlatters-disease.html
is-osteoarthritis,Osteoarthritis,Osteoarthritis,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-osteoarthritis.html
is-osteochondritis-dissecans,Osteochondritis Dissecans,,,unmatched,unmatched,,extracted-illness-scripts\is-osteochondritis-dissecans.html
is-osteomalacia,Osteomalacia,Osteomalacia,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-osteomalacia.html
is-osteomyelitis,Osteomyelitis,Osteomyelitis,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-osteomyelitis.html
is-osteoporotic-vertebral-fracture-2,Fracture (including Osteoporotic Vertebral Fracture),,,unmatched,unmatched,,extracted-illness-scripts\is-osteoporotic-vertebral-fracture-2.html
is-osteoporotic-vertebral-fracture,Osteoporotic Vertebral Fracture,,,unmatched,unmatched,,extracted-illness-scripts\is-osteoporotic-vertebral-fracture.html
is-other-causes,Other Causes,,,unmatched,unmatched,,extracted-illness-scripts\is-other-causes.html
is-otitis-externa,Otitis Externa,Otitis externa,,condition,exact,"Ear, nose and throat",extracted-illness-scripts\is-otitis-externa.html
is-otitis-media,Otitis Media,Otitis media,,condition,exact,"Ear, nose and throat",extracted-illness-scripts\is-otitis-media.html
is-otosclerosis,Otosclerosis,,,unmatched,unmatched,,extracted-illness-scripts\is-otosclerosis.html
is-ovarian-cancer,Ovarian Cancer,Ovarian cancer,,condition,exact,Gynaecological tract,extracted-illness-scripts\is-ovarian-cancer.html
is-ovarian-cyst,Ovarian Cyst,Ovarian cysts,,condition,exact,Gynaecological tract,extracted-illness-scripts\is-ovarian-cyst.html
is-ovarian-torsion,Ovarian Torsion,Ovarian torsion,,condition,exact,Gynaecological tract,extracted-illness-scripts\is-ovarian-torsion.html
is-overfeeding-in-infants,Overfeeding in Infants,,,unmatched,unmatched,,extracted-illness-scripts\is-overfeeding-in-infants.html
is-pagets-disease,Paget's Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-pagets-disease.html
is-painful-ano-rectal-conditions,Painful Ano-Rectal Conditions,,,unmatched,unmatched,,extracted-illness-scripts\is-painful-ano-rectal-conditions.html
is-painful-peripheral-neuropathy,Painful Peripheral Neuropathy,Peripheral neuropathy,,condition,exact,Peripheral nervous system and neuromuscular junction,extracted-illness-scripts\is-painful-peripheral-neuropathy.html
is-pancoasts-tumour,Pancoast's Tumour,,,unmatched,unmatched,,extracted-illness-scripts\is-pancoasts-tumour.html
is-pancreatic-cancer,Pancreatic Cancer,Pancreatic cancer,,condition,exact,"Liver, pancreas, biliary system",extracted-illness-scripts\is-pancreatic-cancer.html
is-pancreatic-insufficiency,Pancreatic Insufficiency,,,unmatched,unmatched,,extracted-illness-scripts\is-pancreatic-insufficiency.html
is-pancreatitis,Pancreatitis,,,unmatched,unmatched,,extracted-illness-scripts\is-pancreatitis.html
is-panic-disorder,Panic Disorder,Panic disorder,,condition,exact,Mental health,extracted-illness-scripts\is-panic-disorder.html
is-paraneoplastic-syndrome,Paraneoplastic Syndrome,,,unmatched,unmatched,,extracted-illness-scripts\is-paraneoplastic-syndrome.html
is-parasites-gastrointestinal,Parasites (Gastrointestinal),,,unmatched,unmatched,,extracted-illness-scripts\is-parasites-gastrointestinal.html
is-parkinsons-disease,Parkinson's Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-parkinsons-disease.html
is-patellar-tendon-rupture,Patellar Tendon Rupture,,,unmatched,unmatched,,extracted-illness-scripts\is-patellar-tendon-rupture.html
is-patellofemoral-pain-syndrome,Patellofemoral Pain Syndrome,,,unmatched,unmatched,,extracted-illness-scripts\is-patellofemoral-pain-syndrome.html
is-pckd,Polycystic Kidney Disease (PCKD),Polycystic kidney disease,,condition,fuzzy:1.45,Kidneys and urinary tract,extracted-illness-scripts\is-pckd.html
is-pcos,Polycystic Ovary Syndrome (PCOS),Polycystic ovary syndrome (PCOS),,condition,exact,Gynaecological tract,extracted-illness-scripts\is-pcos.html
is-pelvic-abscess,Pelvic Abscess,Abscess,,condition,exact,Infections,extracted-illness-scripts\is-pelvic-abscess.html
is-pelvic-inflammatory-disease,Pelvic Inflammatory Disease,Pelvic inflammatory disease,,condition,exact,Gynaecological tract,extracted-illness-scripts\is-pelvic-inflammatory-disease.html
is-pelvic-mass,Pelvic Mass,,,unmatched,unmatched,,extracted-illness-scripts\is-pelvic-mass.html
is-peptic-ulcer-disease,Peptic Ulcer Disease (PUD),Peptic ulcer disease and gastritis,,condition,fuzzy:1.22,Gastrointestinal tract,extracted-illness-scripts\is-peptic-ulcer-disease.html
is-pericarditis,Pericarditis,,,unmatched,unmatched,,extracted-illness-scripts\is-pericarditis.html
is-peripheral-arterial-disease-buttock-claudication,Peripheral Arterial Disease (Buttock Claudication),,,unmatched,unmatched,,extracted-illness-scripts\is-peripheral-arterial-disease-buttock-claudication.html
is-peripheral-arterial-disease,Peripheral Arterial Disease (PAD),,,unmatched,unmatched,,extracted-illness-scripts\is-peripheral-arterial-disease.html
is-peripheral-neuropathy,Peripheral Neuropathy,Peripheral neuropathy,,condition,exact,Peripheral nervous system and neuromuscular junction,extracted-illness-scripts\is-peripheral-neuropathy.html
is-peritonitis,Peritonitis,Peritonitis,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-peritonitis.html
is-peritonsillar-abscess,Peritonsillar Abscess,Abscess,,condition,exact,Infections,extracted-illness-scripts\is-peritonsillar-abscess.html
is-perthes-disease,Perthes' Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-perthes-disease.html
is-phaeochromocytoma,Phaeochromocytoma,Phaeochromocytoma,,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-phaeochromocytoma.html
is-pharyngeal-pouch,Pharyngeal Pouch (Zenker's Diverticulum),,,unmatched,unmatched,,extracted-illness-scripts\is-pharyngeal-pouch.html
is-pharyngitis,Pharyngitis,,,unmatched,unmatched,,extracted-illness-scripts\is-pharyngitis.html
is-placenta-praevia,Placenta Praevia,Placenta praevia,,condition,exact,Pregnancy and the puerperium,extracted-illness-scripts\is-placenta-praevia.html
is-placental-abruption,Placental Abruption,Placental abruption,,condition,exact,Pregnancy and the puerperium,extracted-illness-scripts\is-placental-abruption.html
is-plantar-fasciitis,Plantar Fasciitis,,,unmatched,unmatched,,extracted-illness-scripts\is-plantar-fasciitis.html
is-pleural-effusion,Pleural Effusion,Pleural effusion,,condition,exact,"Lungs, pleura and airways",extracted-illness-scripts\is-pleural-effusion.html
is-pneumonia,Pneumonia,Pneumonia,,condition,exact,"Lungs, pleura and airways",extracted-illness-scripts\is-pneumonia.html
is-pneumothorax,Pneumothorax,Pneumothorax,,condition,exact,"Lungs, pleura and airways",extracted-illness-scripts\is-pneumothorax.html
is-polycythaemia,Polycythaemia,Polycythaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-polycythaemia.html
is-polymyalgia-rheumatica-gca,Polymyalgia Rheumatica (PMR) and Giant Cell Arteritis (GCA),Polymyalgia rheumatica,,condition,fuzzy:1.35,Musculoskeletal,extracted-illness-scripts\is-polymyalgia-rheumatica-gca.html
is-polymyalgia-rheumatica,Polymyalgia Rheumatica (PMR),Polymyalgia rheumatica,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-polymyalgia-rheumatica.html
is-polymyositis,Polymyositis,,,unmatched,unmatched,,extracted-illness-scripts\is-polymyositis.html
is-polyps,Polyps,,,unmatched,unmatched,,extracted-illness-scripts\is-polyps.html
is-post-concussion-headache,Post-Concussion Headache,,,unmatched,unmatched,,extracted-illness-scripts\is-post-concussion-headache.html
is-post-concussion-syndrome,Post-Concussion Syndrome (PCS),,,unmatched,unmatched,,extracted-illness-scripts\is-post-concussion-syndrome.html
is-post-operative-infection,Post-Operative Infection,,,unmatched,unmatched,,extracted-illness-scripts\is-post-operative-infection.html
is-post-vaccination-reactions,Post-Vaccination Reactions,,,unmatched,unmatched,,extracted-illness-scripts\is-post-vaccination-reactions.html
is-pre-eclampsia,Pre-eclampsia,,,unmatched,unmatched,,extracted-illness-scripts\is-pre-eclampsia.html
is-pregnancy,Pregnancy,,,unmatched,unmatched,,extracted-illness-scripts\is-pregnancy.html
is-premature-ectopic-beats,Premature Ectopic Beats,,,unmatched,unmatched,,extracted-illness-scripts\is-premature-ectopic-beats.html
is-prepatellar-bursitis,Prepatellar Bursitis,Bursitis,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-prepatellar-bursitis.html
is-presbycusis,Presbycusis,,,unmatched,unmatched,,extracted-illness-scripts\is-presbycusis.html
is-primary-biliary-cirrhosis,Primary Biliary Cirrhosis (PBC),,,unmatched,unmatched,,extracted-illness-scripts\is-primary-biliary-cirrhosis.html
is-proctalgia-fugax,Proctalgia Fugax,,,unmatched,unmatched,,extracted-illness-scripts\is-proctalgia-fugax.html
is-prostate-cancer,Prostate Cancer,Prostate cancer,,condition,exact,Male genitourinary tract,extracted-illness-scripts\is-prostate-cancer.html
is-prostatitis,Prostatitis,,,unmatched,unmatched,,extracted-illness-scripts\is-prostatitis.html
is-psoriatic-arthritis,Psoriatic Arthritis,,,unmatched,unmatched,,extracted-illness-scripts\is-psoriatic-arthritis.html
is-psvt,Paroxysmal Supraventricular Tachycardia (PSVT),,,unmatched,unmatched,,extracted-illness-scripts\is-psvt.html
is-psychogenic,Psychogenic Disorder,,,unmatched,unmatched,,extracted-illness-scripts\is-psychogenic.html
is-psychosis-and-schizophrenia,Psychosis and Schizophrenia,Schizophrenia,,condition,exact,Mental health,extracted-illness-scripts\is-psychosis-and-schizophrenia.html
is-pulmonary-embolism,Pulmonary Embolism (PE),Pulmonary embolism,,condition,exact,Heart and vasculature,extracted-illness-scripts\is-pulmonary-embolism.html
