slug,title,matched_condition,matched_presentation,match_basis,match_method,categories,source_file
is-traumatic-ulcer,Traumatic Ulcer,,,unmatched,unmatched,,extracted-illness-scripts\is-traumatic-ulcer.html
is-travellers-diarrhoea,Travellerâ€™s Diarrhoea,,,unmatched,unmatched,,extracted-illness-scripts\is-travellers-diarrhoea.html
is-trigeminal-neuralgia,Trigeminal Neuralgia,Trigeminal neuralgia,,condition,exact,Peripheral nervous system and neuromuscular junction,extracted-illness-scripts\is-trigeminal-neuralgia.html
is-trochanteric-bursitis,Trochanteric Bursitis,Bursitis,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-trochanteric-bursitis.html
is-tropical-diseases,Tropical Diseases,,,unmatched,unmatched,,extracted-illness-scripts\is-tropical-diseases.html
is-tuberculosis-lymphadenopathy,Tuberculosis (Lymphadenopathy),Tuberculosis,,condition,fuzzy:1.25,Infections,extracted-illness-scripts\is-tuberculosis-lymphadenopathy.html
is-tuberculosis,Tuberculosis (TB),Tuberculosis,,condition,exact,Infections,extracted-illness-scripts\is-tuberculosis.html
is-type-1-diabetes-mellitus,Type 1 Diabetes Mellitus,Diabetes mellitus,,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-type-1-diabetes-mellitus.html
is-ulcerative-colitis,Ulcerative Colitis,,,unmatched,unmatched,,extracted-illness-scripts\is-ulcerative-colitis.html
is-ulnar-neuropathy,Ulnar Neuropathy,,,unmatched,unmatched,,extracted-illness-scripts\is-ulnar-neuropathy.html
is-undescended-testis,Undescended Testis,,,unmatched,unmatched,,extracted-illness-scripts\is-undescended-testis.html
is-urethral-stricture,Urethral Stricture,,,unmatched,unmatched,,extracted-illness-scripts\is-urethral-stricture.html
is-urethritis,Urethritis,,,unmatched,unmatched,,extracted-illness-scripts\is-urethritis.html
is-urinary-tract-stone,Urinary Tract Stone (Urolithiasis),,,unmatched,unmatched,,extracted-illness-scripts\is-urinary-tract-stone.html
is-urinary-tract-tuberculosis,Urinary Tract Tuberculosis (UTB),Tuberculosis,,condition,exact,Infections,extracted-illness-scripts\is-urinary-tract-tuberculosis.html
is-urti,URTI (Common cold),Upper respiratory tract infection,,condition,exact,"Ear, nose and throat",extracted-illness-scripts\is-urti.html
is-urticaria,Urticaria,Urticaria,,condition,exact,Skin and soft tissue,extracted-illness-scripts\is-urticaria.html
is-uti,Urinary Tract Infection (UTI),Urinary tract infection,,condition,exact,Kidneys and urinary tract,extracted-illness-scripts\is-uti.html
is-vaginal-cancer,Vaginal Cancer,,,unmatched,unmatched,,extracted-illness-scripts\is-vaginal-cancer.html
is-vaginitis,Vaginitis,,,unmatched,unmatched,,extracted-illness-scripts\is-vaginitis.html
is-valvular-heart-disease,Valvular Heart Disease,Congenital heart disease,,condition,fuzzy:1.16,Heart and vasculature,extracted-illness-scripts\is-valvular-heart-disease.html
is-varicella,Varicella (Chickenpox),,,unmatched,unmatched,,extracted-illness-scripts\is-varicella.html
is-varicose-veins,Varicose Veins,Venous insufficiency (including varicose veins),,condition,fuzzy:1.08,Heart and vasculature,extracted-illness-scripts\is-varicose-veins.html
is-vascular-dementia,Vascular Dementia,,,unmatched,unmatched,,extracted-illness-scripts\is-vascular-dementia.html
is-vasovagal-syncope,Vasovagal Syncope,"Syncope (including vasovagal, cardiac)",,condition,fuzzy:1.12,Heart and vasculature,extracted-illness-scripts\is-vasovagal-syncope.html
is-venous-eczema,Venous Eczema,,,unmatched,unmatched,,extracted-illness-scripts\is-venous-eczema.html
is-venous-leg-ulcer,Venous Leg Ulcer,,,unmatched,unmatched,,extracted-illness-scripts\is-venous-leg-ulcer.html
is-ventricular-fibrillation,Ventricular Fibrillation (VF),,,unmatched,unmatched,,extracted-illness-scripts\is-ventricular-fibrillation.html
is-ventricular-tachycardia,Ventricular Tachycardia (VT),,,unmatched,unmatched,,extracted-illness-scripts\is-ventricular-tachycardia.html
is-vertebrobasilar-insufficiency,Vertebrobasilar Insufficiency,,,unmatched,unmatched,,extracted-illness-scripts\is-vertebrobasilar-insufficiency.html
is-vestibular-migraine,Vestibular Migraine,,,unmatched,unmatched,,extracted-illness-scripts\is-vestibular-migraine.html
is-vestibular-neuritis,Vestibular Neuritis,Labyrinthitis / vestibular neuritis,,condition,fuzzy:1.16,"Ear, nose and throat",extracted-illness-scripts\is-vestibular-neuritis.html
is-viral-gastroenteritis,Viral Gastroenteritis,,,unmatched,unmatched,,extracted-illness-scripts\is-viral-gastroenteritis.html
is-viral-hepatitis,Viral Hepatitis,"Hepatitis (including viral, autoimmune, alcoholic)",,condition,fuzzy:1.08,"Liver, pancreas, biliary system",extracted-illness-scripts\is-viral-hepatitis.html
is-viral-induced-wheeze,Viral Induced Wheeze,,,unmatched,unmatched,,extracted-illness-scripts\is-viral-induced-wheeze.html
is-viral-infection,Viral Infection,,,unmatched,unmatched,,extracted-illness-scripts\is-viral-infection.html
is-visual-problems,Visual Problems,,,unmatched,unmatched,,extracted-illness-scripts\is-visual-problems.html
is-vitamin-b12-deficiency,Vitamin B12 Deficiency,Vitamin B12 and/ or folate deficiency,,condition,fuzzy:1.18,Multi-system diseases,extracted-illness-scripts\is-vitamin-b12-deficiency.html
is-vitamin-c-deficiency,Vitamin C Deficiency,,,unmatched,unmatched,,extracted-illness-scripts\is-vitamin-c-deficiency.html
is-vitamin-d-deficiency,Vitamin D Deficiency,Vitamin D deficiency,,condition,exact,Multi-system diseases,extracted-illness-scripts\is-vitamin-d-deficiency.html
is-vitamin-deficiencies,Vitamin Deficiencies,,,unmatched,unmatched,,extracted-illness-scripts\is-vitamin-deficiencies.html
is-vitamin-k-deficiency,Vitamin K Deficiency,,,unmatched,unmatched,,extracted-illness-scripts\is-vitamin-k-deficiency.html
is-vitreous-haemorrhage,Vitreous Haemorrhage,,,unmatched,unmatched,,extracted-illness-scripts\is-vitreous-haemorrhage.html
is-vocal-cord-nodules,Vocal Cord Nodules,,,unmatched,unmatched,,extracted-illness-scripts\is-vocal-cord-nodules.html
is-voice-overuse,Voice Overuse,,,unmatched,unmatched,,extracted-illness-scripts\is-voice-overuse.html
is-warts-and-verrucae,Warts and Verrucae,,,unmatched,unmatched,,extracted-illness-scripts\is-warts-and-verrucae.html
is-wernicke-korsakoff-syndrome-alcohol,Wernicke-Korsakoff Syndrome (Alcohol),,,unmatched,unmatched,,extracted-illness-scripts\is-wernicke-korsakoff-syndrome-alcohol.html
is-whiplash-injury,Whiplash Injury,,,unmatched,unmatched,,extracted-illness-scripts\is-whiplash-injury.html
is-white-coat-hypertension,White Coat Hypertension,,,unmatched,unmatched,,extracted-illness-scripts\is-white-coat-hypertension.html
is-whooping-cough,Whooping Cough (Pertussis),Whooping cough,,condition,exact,Child health,extracted-illness-scripts\is-whooping-cough.html
is-wilsons-disease,Wilson's Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-wilsons-disease.html
is-wpw,Wolff-Parkinson-White (WPW) Syndrome,,,unmatched,unmatched,,extracted-illness-scripts\is-wpw.html
is-wrist-tendinopathy,Wrist Tendinopathy,,,unmatched,unmatched,,extracted-illness-scripts\is-wrist-tendinopathy.html
is-xerostomia,Xerostomia (Dry Mouth),,,unmatched,unmatched,,extracted-illness-scripts\is-xerostomia.html
